128 2032
0 6 64
0 27 9
0 29 51
0 36 40
0 40 90
0 43 55
0 44 83
0 46 85
0 50 89
0 54 33
0 55 38
0 56 47
0 58 43
0 59 13
0 65 3
0 67 21
0 74 33
0 79 97
0 80 37
0 93 69
0 96 27
0 98 56
0 100 85
0 102 53
0 104 31
0 107 31
0 108 12
0 116 57
0 117 79
0 125 82
0 126 40
1 2 9
1 4 19
1 9 39
1 11 58
1 15 65
1 19 95
1 20 32
1 22 86
1 24 66
1 31 21
1 32 26
1 35 60
1 38 33
1 44 67
1 45 77
1 47 44
1 50 58
1 58 43
1 63 88
1 64 31
1 65 92
1 75 77
1 76 37
1 77 29
1 81 95
1 82 3
1 87 2
1 94 98
1 96 62
1 102 75
1 106 38
1 108 49
1 111 99
1 114 86
1 115 97
1 116 17
1 119 56
1 120 53
1 124 11
2 4 97
2 11 90
2 16 96
2 19 39
2 23 4
2 38 48
2 40 75
2 41 98
2 49 4
2 54 77
2 63 59
2 64 22
2 73 72
2 81 11
2 83 91
2 88 61
2 92 100
2 93 26
2 95 19
2 102 27
2 103 88
2 105 34
2 114 86
2 115 53
2 119 77
2 125 88
3 4 87
3 5 27
3 9 11
3 14 23
3 18 38
3 19 9
3 24 32
3 27 60
3 28 88
3 31 25
3 35 92
3 36 44
3 40 99
3 43 9
3 47 66
3 48 38
3 49 40
3 52 35
3 53 81
3 56 63
3 60 41
3 69 86
3 70 1
3 72 76
3 74 71
3 75 24
3 78 49
3 82 86
3 86 78
3 96 59
3 99 81
3 100 21
3 101 44
3 103 70
3 104 41
3 107 7
3 114 99
3 120 9
3 127 49
4 5 98
4 7 23
4 11 44
4 15 69
4 20 42
4 22 33
4 25 81
4 31 59
4 33 23
4 34 99
4 37 14
4 41 26
4 48 41
4 54 41
4 56 24
4 57 23
4 63 53
4 65 15
4 68 99
4 72 44
4 74 89
4 83 69
4 93 58
4 95 81
4 97 79
4 102 98
4 103 68
4 107 10
4 108 39
4 115 41
4 116 39
4 126 14
5 7 74
5 9 26
5 17 55
5 25 66
5 27 52
5 29 25
5 35 46
5 39 68
5 40 91
5 41 27
5 47 67
5 53 55
5 55 12
5 59 85
5 61 51
5 62 30
5 66 89
5 71 85
5 75 100
5 79 19
5 80 80
5 84 53
5 85 67
5 89 35
5 112 67
5 114 96
5 117 100
6 8 40
6 13 2
6 16 97
6 17 44
6 18 41
6 24 40
6 26 63
6 31 19
6 32 16
6 33 24
6 34 52
6 35 42
6 40 44
6 42 6
6 46 28
6 47 17
6 50 70
6 53 30
6 58 41
6 59 53
6 60 16
6 66 43
6 75 100
6 78 51
6 89 62
6 90 77
6 102 96
6 104 27
6 107 87
6 117 81
6 127 5
7 11 63
7 19 61
7 21 67
7 28 65
7 32 86
7 33 7
7 34 98
7 37 40
7 41 18
7 44 26
7 45 51
7 46 57
7 47 71
7 48 92
7 62 25
7 66 9
7 68 68
7 71 99
7 73 80
7 77 59
7 81 29
7 84 74
7 86 75
7 87 94
7 90 40
7 92 18
7 100 61
7 105 41
7 106 74
7 107 92
7 110 24
7 114 41
7 124 57
7 127 20
8 9 99
8 16 53
8 18 37
8 24 15
8 32 2
8 48 96
8 50 74
8 54 30
8 55 12
8 57 28
8 62 56
8 63 88
8 66 81
8 69 20
8 75 9
8 77 16
8 78 92
8 80 32
8 84 72
8 92 46
8 93 97
8 96 88
8 97 2
8 99 71
8 103 13
8 106 84
8 108 21
8 111 76
8 116 95
8 117 41
8 118 34
8 122 35
8 123 61
9 10 93
9 16 27
9 18 69
9 22 4
9 24 92
9 40 26
9 42 84
9 49 47
9 50 41
9 51 91
9 53 47
9 60 58
9 71 89
9 72 29
9 78 4
9 85 17
9 87 30
9 90 70
9 92 50
9 109 28
9 110 29
9 111 73
9 116 69
9 117 23
9 118 66
9 123 75
9 124 20
9 127 11
10 16 98
10 17 78
10 24 42
10 28 51
10 31 3
10 32 41
10 37 96
10 38 33
10 41 92
10 58 9
10 61 5
10 67 67
10 69 98
10 71 96
10 78 19
10 82 30
10 83 29
10 88 82
10 92 6
10 101 81
10 102 82
10 105 4
10 112 46
10 114 50
10 120 68
10 123 40
11 12 75
11 18 27
11 19 40
11 22 32
11 25 55
11 27 12
11 28 94
11 31 49
11 40 77
11 44 84
11 47 93
11 63 25
11 64 47
11 70 79
11 76 84
11 81 69
11 93 76
11 94 100
11 95 33
11 99 88
11 101 3
11 102 4
11 107 63
11 111 7
11 112 67
11 118 82
11 122 58
12 14 76
12 15 96
12 23 86
12 25 64
12 26 69
12 36 58
